average,city,country,date,day_average_temp,dew_point,dew_highest,high_temp,latitude,longitude,dew_lowest,low_temp,max_wind_speed,precipitation,visibility
44.05,gävle,mt,03.01.2021,56,44.05,46,61,-23.0245695,-157.435823,41,55,17,0,6
61,kassel,in,03.01.2021,62.65,61,64,70,-80.4684125,77.244081,57,61,3,0,1
58.33,jüterbog,in,03.01.2021,69.33,58.33,59,77,17.573453,-85.66576,57,64,14,0,1
58.33,eskilstuna,in,03.01.2021,69.33,58.33,59,77,65.8152995,48.46298,57,64,14,0,1
72,uddevalla,sv,03.01.2021,74,72,72,75,60.021808,-160.065688,72,73,3,0,6
43.7,south jennifer,sy,03.01.2021,45.6,43.7,46,55,-22.0660225,157.212655,41,41,6,0,6
37.6,silveira,mk,03.01.2021,39,37.6,41,41,24.1126705,-102.219276,36,37,3,0,6
27.16,kristianstad,lu,03.01.2021,32,27.16,28,32,42.6356585,-64.965313,27,32,10,0,6
43.7,campos,sy,03.01.2021,45.6,43.7,46,55,44.201149,-154.857476,41,41,6,0,6
27.16,eisenberg,lu,03.01.2021,32,27.16,28,32,-64.2009565,-145.994261,27,32,10,0,6
27.16,new shannonhaven,lu,03.01.2021,32,27.16,28,32,39.4757275,-20.262503,27,32,10,0,6
43.7,port jasonfort,sy,03.01.2021,45.6,43.7,46,55,-2.483164,-97.601601,41,41,6,0,6
52,schrobenhausen,cl,03.01.2021,61.5,52,52,64,31.677616,49.834185,52,61,13,0,6
22,jessicaview,fi,03.01.2021,28,22,23,28,35.720677,178.622919,21,28,8,0,6
42.6,wanzleben,fr,03.01.2021,45.8,42.6,45,50,-0.786827,-102.351732,39,45,8,0,6
41.82,malmö,it,03.01.2021,48.47,41.82,45,54,0.892244,85.613154,39,46,26,0,6
32,da costa,de,03.01.2021,32.5,32,32,34,70.064203,-12.283524,32,32,14,0,4
34,karlstad,by,03.01.2021,34,34,34,34,72.89683,93.944075,34,34,7,0,1
52,east jenny,cl,03.01.2021,61.5,52,52,64,44.623119,-77.447664,52,61,13,0,6
72,kristianstad,sv,03.01.2021,74,72,72,75,-71.0655495,-18.700995,72,73,3,0,6
64.25,thompsonview,br,03.01.2021,67.5,64.25,66,70,-54.9599685,-143.50418,64,66,10,0,6
27.16,lüneburg,lu,03.01.2021,32,27.16,28,32,-79.5935845,-20.029927,27,32,10,0,6
43.7,sloanville,sy,03.01.2021,45.6,43.7,46,55,-82.279623,48.194026,41,41,6,0,6
37.6,gifhorn,mk,03.01.2021,39,37.6,41,41,-86.3445805,49.332664,36,37,3,0,6
38.3,bamberg,ma,03.01.2021,46.45,38.3,41,50,-18.3866005,-57.717307,37,41,10,0,6
44.05,rocha do galho,mt,03.01.2021,56,44.05,46,61,33.411705,-60.269784,41,55,17,0,6
64.25,erding,br,03.01.2021,67.5,64.25,66,70,18.6724255,16.682715,64,66,10,0,6
68.67,da rosa do amparo,mg,03.01.2021,79.33,68.67,69,84,-1.4760265,-128.445844,68,77,18,0,24
58.33,peixoto,in,03.01.2021,69.33,58.33,59,77,-35.036544,-50.637955,57,64,14,0,1
42.6,south david,fr,03.01.2021,45.8,42.6,45,50,-33.184744,54.897468,39,45,8,0,6
24,north eugenetown,ca,03.01.2021,41,24,25,41,-6.49659,31.052849,23,41,18,0,15
41.82,paulbury,it,03.01.2021,48.47,41.82,45,54,-45.6482615,-125.893256,39,46,26,0,6
44.05,soltau,mt,03.01.2021,56,44.05,46,61,-73.842726,18.096362,41,55,17,0,6
61.09,hildburghausen,au,03.01.2021,65.79,61.09,68,75,15.850487,6.1932,55,61,15,0,6
75.5,south shelley,au,03.01.2021,80.95,75.5,77,88,86.0580595,144.44652,73,77,10,0,6
27.16,motala,lu,03.01.2021,32,27.16,28,32,-81.8028055,-103.444872,27,32,10,0,6
41.82,new george,it,03.01.2021,48.47,41.82,45,54,-40.488658,158.289627,39,46,26,0,6
42.6,east jessica,fr,03.01.2021,45.8,42.6,45,50,56.1701215,-24.552241,39,45,8,0,6
58.33,christianmouth,in,03.01.2021,69.33,58.33,59,77,32.4639685,16.261343,57,64,14,0,1
43.7,ängelholm,sy,03.01.2021,45.6,43.7,46,55,-33.783691,179.489105,41,41,6,0,6
38.7,north annetteburgh,hr,03.01.2021,40.2,38.7,41,41,-11.024273,18.077253,37,37,6,0,6
38.7,sankt goarshausen,hr,03.01.2021,40.2,38.7,41,41,89.9404165,-69.301179,37,37,6,0,6
17.75,östersund,se,03.01.2021,18.55,17.75,21,21,-10.6396945,-142.823611,12,14,6,0,6
35.4,north adam,fr,03.01.2021,36.15,35.4,36,37,-36.537565,2.406991,34,36,7,0,3
63.2,nogueira de minas,mw,03.01.2021,68.8,63.2,64,72,-78.3718005,-157.732112,63,64,14,0,6
38.7,helsingborg,hr,03.01.2021,40.2,38.7,41,41,22.4383625,-92.796851,37,37,6,0,6
58.33,williamsview,in,03.01.2021,69.33,58.33,59,77,-68.5372555,106.977744,57,64,14,0,1
24,lake rubenberg,ca,03.01.2021,41,24,25,41,-70.410626,-105.124759,23,41,18,0,15
44.05,heiligenstadt,mt,03.01.2021,56,44.05,46,61,-40.784992,115.85618,41,55,17,0,6
43.7,da conceição,sy,03.01.2021,45.6,43.7,46,55,-26.2409695,-152.918357,41,41,6,0,6
24,skövde,ca,03.01.2021,41,24,25,41,-88.061768,-170.123172,23,41,18,0,15
24,kristianstad,ca,03.01.2021,41,24,25,41,-47.3074295,158.918656,23,41,18,0,15
27.16,worbis,lu,03.01.2021,32,27.16,28,32,-85.0421015,32.115816,27,32,10,0,6
34,potsdam,by,03.01.2021,34,34,34,34,2.8091355,131.330902,34,34,7,0,1
37.6,hunterhaven,mk,03.01.2021,39,37.6,41,41,-84.4537645,-97.816809,36,37,3,0,6
42.6,mittweida,fr,03.01.2021,45.8,42.6,45,50,80.8331285,-33.972442,39,45,8,0,6
42.6,basshaven,fr,03.01.2021,45.8,42.6,45,50,-62.964634,156.491282,39,45,8,0,6
58.33,west troyborough,in,03.01.2021,69.33,58.33,59,77,45.749395,6.492304,57,64,14,0,1
41.82,port carriefurt,it,03.01.2021,48.47,41.82,45,54,65.6221495,121.935292,39,46,26,0,6
44.05,port sheryl,mt,03.01.2021,56,44.05,46,61,-33.6202135,9.390216,41,55,17,0,6
40.18,north andrea,it,03.01.2021,44.82,40.18,43,52,-36.605932,-62.848997,39,41,13,0,6
37.6,north robertstad,mk,03.01.2021,39,37.6,41,41,19.561279,-175.251753,36,37,3,0,6
42.6,madelineport,fr,03.01.2021,45.8,42.6,45,50,-3.9723545,113.684993,39,45,8,0,6
72.76,north christopherfurt,ph,03.01.2021,78.24,72.76,75,82,-40.1227685,-84.408184,70,75,7,0,6
63.2,das neves de ferreira,mw,03.01.2021,68.8,63.2,64,72,37.6176565,-52.324055,63,64,14,0,6
27.16,borlänge,lu,03.01.2021,32,27.16,28,32,-50.911856,21.059963,27,32,10,0,6
46.27,north kaitlyn,pk,03.01.2021,52.31,46.27,52,61,-17.6133985,102.527479,45,48,6,0,2
43.7,lübeck,sy,03.01.2021,45.6,43.7,46,55,-2.1805105,59.813865,41,41,6,0,6
27.31,east nicholasberg,ca,03.01.2021,27.94,27.31,28,28,-50.9768865,-178.476426,25,27,12,0,9
52,anklam,cl,03.01.2021,61.5,52,52,64,77.805181,-5.89528,52,61,13,0,6
33.13,monteiro da prata,cz,03.01.2021,33.31,33.13,36,36,53.71849,136.811251,30,30,12,0,3
54,west stacy,za,03.01.2021,60,54,56,65,-27.8744385,-87.334179,53,56,10,0,12
44.05,ribnitz-damgarten,mt,03.01.2021,56,44.05,46,61,86.371894,127.053158,41,55,17,0,6
72,trelleborg,sv,03.01.2021,74,72,72,75,13.398773,139.586621,72,73,3,0,6
75.5,south eric,au,03.01.2021,80.95,75.5,77,88,25.081038,64.910042,73,77,10,0,6
44.05,örebro,mt,03.01.2021,56,44.05,46,61,-41.8159605,-13.752026,41,55,17,0,6
64.25,schwäbisch gmünd,br,03.01.2021,67.5,64.25,66,70,66.512275,-171.234619,64,66,10,0,6
24,davidfurt,ca,03.01.2021,41,24,25,41,-22.784577,10.552129,23,41,18,0,15
70.67,robertstad,dj,03.01.2021,81.67,70.67,72,82,-67.1796855,-72.145861,70,81,10,0,6
38.7,gävle,hr,03.01.2021,40.2,38.7,41,41,52.8679575,158.119131,37,37,6,0,6
43.7,wilsonshire,sy,03.01.2021,45.6,43.7,46,55,36.3583985,-134.230383,41,41,6,0,6
41.82,gelnhausen,it,03.01.2021,48.47,41.82,45,54,-85.654683,26.937328,39,46,26,0,6
43.7,west stacy,sy,03.01.2021,45.6,43.7,46,55,-31.34606,40.300366,41,41,6,0,6
61.09,lewisfurt,au,03.01.2021,65.79,61.09,68,75,-40.1344015,162.70445,55,61,15,0,6
38.7,trollhättan,hr,03.01.2021,40.2,38.7,41,41,-78.9163465,170.812382,37,37,6,0,6
1.94,borås,kr,03.01.2021,19.94,1.94,10,28,-28.3735805,-9.465977,-4,10,10,0,6
38.7,oschatz,hr,03.01.2021,40.2,38.7,41,41,60.0263245,19.751707,37,37,6,0,6
24,örnsköldsvik,ca,03.01.2021,41,24,25,41,-15.189685,-123.781145,23,41,18,0,15
38.7,rehau,hr,03.01.2021,40.2,38.7,41,41,-1.969545,-77.331141,37,37,6,0,6
41.82,örebro,it,03.01.2021,48.47,41.82,45,54,-80.136229,115.014635,39,46,26,0,6
38.7,thomaston,hr,03.01.2021,40.2,38.7,41,41,-69.5004275,-3.302119,37,37,6,0,6
72.76,south oliviamouth,ph,03.01.2021,78.24,72.76,75,82,48.749574,49.350597,70,75,7,0,6
52,port ericview,cl,03.01.2021,61.5,52,52,64,22.989154,-81.37354,52,61,13,0,6
44.05,lund,mt,03.01.2021,56,44.05,46,61,-88.334808,127.002582,41,55,17,0,6
41.82,rocha,it,03.01.2021,48.47,41.82,45,54,28.616723,161.371848,39,46,26,0,6
41.82,stendal,it,03.01.2021,48.47,41.82,45,54,-67.6828275,-126.254354,39,46,26,0,6
37,south stevefort,gb,03.01.2021,37.89,37,37,39,-8.456028,-36.280691,37,37,9,0,6
61.09,grafenau,au,03.01.2021,65.79,61.09,68,75,-47.3491045,144.942364,55,61,15,0,6
33.05,port andrea,pt,03.01.2021,33.68,33.05,36,36,-87.7380755,-14.834894,32,32,9,0,6
27.16,hernandezfort,lu,03.01.2021,32,27.16,28,32,-4.19472,20.859203,27,32,10,0,6
52,wittmund,cl,03.01.2021,61.5,52,52,64,65.15039,174.236294,52,61,13,0,6
24,skellefteå,ca,03.01.2021,41,24,25,41,35.848828,-59.245029,23,41,18,0,15
70.67,karlskrona,dj,03.01.2021,81.67,70.67,72,82,59.822388,168.143109,70,81,10,0,6
44.05,lidingö,mt,03.01.2021,56,44.05,46,61,82.9385885,98.308427,41,55,17,0,6
43.7,rezende de oliveira,sy,03.01.2021,45.6,43.7,46,55,-5.659869,-107.984802,41,41,6,0,6
41.82,parsberg,it,03.01.2021,48.47,41.82,45,54,-26.295926,117.569148,39,46,26,0,6
24,linköping,ca,03.01.2021,41,24,25,41,80.386359,169.880147,23,41,18,0,15
42.6,linköping,fr,03.01.2021,45.8,42.6,45,50,38.708725,20.026775,39,45,8,0,6
70.67,varberg,dj,03.01.2021,81.67,70.67,72,82,-76.6558935,-0.849706,70,81,10,0,6
43.7,neuss,sy,03.01.2021,45.6,43.7,46,55,-3.312953,55.368058,41,41,6,0,6
28.5,göttingen,de,03.01.2021,34,28.5,30,34,-23.6039745,162.936413,28,34,9,0,6
44.05,rocha,mt,03.01.2021,56,44.05,46,61,5.1104525,66.736176,41,55,17,0,6
37.6,pößneck,mk,03.01.2021,39,37.6,41,41,37.0679085,170.902217,36,37,3,0,6
72,karlskoga,sv,03.01.2021,74,72,72,75,-43.1617175,-106.592144,72,73,3,0,6
37.6,göteborg,mk,03.01.2021,39,37.6,41,41,-88.5122765,56.709794,36,37,3,0,6
42.6,south kristintown,fr,03.01.2021,45.8,42.6,45,50,-15.069568,-13.187091,39,45,8,0,6
70.67,lake brandon,dj,03.01.2021,81.67,70.67,72,82,51.752007,122.098347,70,81,10,0,6
70.67,port david,dj,03.01.2021,81.67,70.67,72,82,-74.194551,-81.231794,70,81,10,0,6
42.6,fowlerville,fr,03.01.2021,45.8,42.6,45,50,84.0973125,-8.136076,39,45,8,0,6
27.68,south patricia,ie,03.01.2021,30,27.68,30,32,-85.4264625,-150.284249,27,28,12,0,6
43.7,jülich,sy,03.01.2021,45.6,43.7,46,55,-81.3642755,100.55578,41,41,6,0,6
44.05,lidköping,mt,03.01.2021,56,44.05,46,61,-59.2823065,137.667145,41,55,17,0,6
27.04,lake karenville,ge,03.01.2021,29.12,27.04,30,34,-4.2539795,-42.339283,23,25,7,0,6
42.6,euskirchen,fr,03.01.2021,45.8,42.6,45,50,62.72609,-150.694362,39,45,8,0,6
52,wanzleben,cl,03.01.2021,61.5,52,52,64,13.490059,91.496064,52,61,13,0,6
